Indicator Name,What Is This Indicator,Location Type,Location,Indicator Value,Indicator Value Units,Lower Confidence Interval,Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Value,Breakout Value Units,Breakout Lower Confidence Interval,Breakout Upper Confidence Interval,Breakout Unstable,Breakout Footer
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.5,"deaths/ 1,000 live births",,,No,2010-2014,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",15.1,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.5,"deaths/ 1,000 live births",,,No,2010-2014,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",7.7,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,8.2,"deaths/ 1,000 live births",,,No,2009-2013,"North Carolina State Center for Health Statistics, Vital Statistics",,,,,,,,,,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,7.3,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",13.5,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,7.3,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,Hispanic,3.9,"deaths/ 1,000 live births",,,Yes,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,7.3,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"Other, non-Hispanic",13.7,"deaths/ 1,000 live births",,,Yes,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,7.3,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",6.1,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Alamance,7,"deaths/ 1,000 live births",,,No,2007-2011,"North Carolina State Center for Health Statistics, Vital Statistics",,,,,,,,,,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.4,"deaths/ 1,000 live births",,,No,2013-2017,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",12.8,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.4,"deaths/ 1,000 live births",,,No,2013-2017,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",5.1,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.1,"deaths/ 1,000 live births",,,No,2012-2016,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",12.3,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.1,"deaths/ 1,000 live births",,,No,2012-2016,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",5.2,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,7.9,"deaths/ 1,000 live births",,,No,2011-2015,"North Carolina State Center for Health Statistics, Vital Statistics",,,,,,,,,,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.3,"deaths/ 1,000 live births",,,No,2010-2014,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",12.6,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.3,"deaths/ 1,000 live births",,,No,2010-2014,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,Hispanic,6.7,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.3,"deaths/ 1,000 live births",,,No,2010-2014,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",5.5,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,8.8,"deaths/ 1,000 live births",,,No,2009-2013,"North Carolina State Center for Health Statistics, Vital Statistics",,,,,,,,,,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,9,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"African American, non-Hispanic",13.6,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,9,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,Hispanic,8.9,"deaths/ 1,000 live births",,,Yes,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,9,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"Other, non-Hispanic",4.4,"deaths/ 1,000 live births",,,Yes,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,9,"deaths/ 1,000 live births",,,No,2008-2012,"North Carolina State Center for Health Statistics, Vital Statistics",,Infant Mortality Rate,Race/Ethnicity,"White, non-Hispanic",5.5,"deaths/ 1,000 live births",,,No,
Infant Mortality Rate,"
This indicator shows the mortality rate in deaths per 1,000 live births for infants within their first year of life.
",County,Guilford,9.4,"deaths/ 1,000 live births",,,No,2007-2011,"North Carolina State Center for Health Statistics, Vital Statistics",,,,,,,,,,
